user_id,career_goal_id,experience_level,learning_style,weekly_hours,interests
user_0001,goal_ui_designer,beginner,visual,8,ux_design|web_performance
user_0002,goal_digital_marketer,advanced,reading,5,growth_marketing|computer_vision
user_0003,goal_bi_analyst,advanced,practice,4,data_engineering|mobile_dev
user_0004,goal_dba,beginner,reading,12,data_engineering|game_dev
user_0005,goal_data_analyst,beginner,practice,17,data_engineering
user_0006,goal_ios_eng,beginner,reading,7,mobile_dev
user_0007,goal_ml_researcher,intermediate,reading,12,generative_ai
user_0008,goal_data_scientist,advanced,visual,16,nlp|data_engineering
user_0009,goal_ml_researcher,advanced,practice,15,generative_ai
user_0010,goal_qa_eng,beginner,practice,11,devops_automation|computer_vision
user_0011,goal_salesforce_dev,beginner,visual,7,product_strategy
user_0012,goal_devops_eng,advanced,reading,9,devops_automation|cloud_native
user_0013,goal_cloud_architect,advanced,reading,6,cloud_native
user_0014,goal_scrum_master,advanced,practice,11,product_strategy
user_0015,goal_data_eng,intermediate,practice,11,data_engineering
user_0016,goal_robotics_eng,beginner,visual,5,embedded_systems
user_0017,goal_android_eng,beginner,visual,14,mobile_dev
user_0018,goal_data_privacy_eng,intermediate,practice,18,cybersecurity
user_0019,goal_prompt_eng,beginner,practice,12,generative_ai|llms
user_0020,goal_digital_marketer,advanced,reading,15,growth_marketing
user_0021,goal_frontend_eng,beginner,practice,19,web_performance
user_0022,goal_ml_researcher,beginner,visual,9,generative_ai
user_0023,goal_erp_consultant,advanced,visual,16,product_strategy
user_0024,goal_devops_eng,intermediate,practice,12,devops_automation|cloud_native
user_0025,goal_dba,beginner,practice,7,data_engineering
user_0026,goal_robotics_eng,intermediate,practice,14,embedded_systems
user_0027,goal_cv_eng,beginner,reading,4,computer_vision
user_0028,goal_tech_writer,intermediate,practice,9,
user_0029,goal_network_eng,advanced,reading,20,cybersecurity
user_0030,goal_scrum_master,beginner,practice,20,product_strategy|growth_marketing
user_0031,goal_data_analyst,intermediate,visual,7,data_engineering
user_0032,goal_cloud_architect,intermediate,visual,5,cloud_native
user_0033,goal_perf_eng,beginner,visual,19,web_performance
user_0034,goal_mlops_eng,advanced,visual,8,mlops|devops_automation
user_0035,goal_embedded_eng,advanced,visual,12,embedded_systems
user_0036,goal_security_eng,intermediate,visual,10,cybersecurity
user_0037,goal_blockchain_dev,advanced,practice,15,blockchain
user_0038,goal_release_eng,intermediate,visual,11,devops_automation
user_0039,goal_frontend_eng,advanced,practice,11,web_performance|generative_ai
