skill_id,prerequisite_skill_id
python_advanced,python_basics
pandas_numpy,python_basics
statistics,python_basics
statistical_modeling_r,r_basics
statistical_modeling_r,statistics
data_wrangling,python_basics
data_wrangling,statistics
power_bi,excel_basics
power_bi,sql_basics
tableau,excel_basics
tableau,sql_basics
machine_learning,statistics
machine_learning,data_wrangling
deep_learning,machine_learning
mlops_basics,machine_learning
mlops_basics,docker_basics
model_monitoring,mlops_basics
pytorch,deep_learning
llm_applications,deep_learning
llm_applications,python_advanced
vector_databases,llm_applications
rag_systems,llm_applications
rag_systems,vector_databases
model_serving,mlops_basics
model_serving,rest_apis
prompt_engineering,llm_applications
data_pipelines,python_basics
data_pipelines,sql_basics
spark_basics,python_basics
spark_basics,sql_basics
data_warehousing,data_pipelines
etl_orchestration,data_pipelines
dbt_basics,sql_basics
data_governance,data_warehousing
javascript_basics,html_css_basics
typescript_basics,javascript_basics
react_basics,javascript_basics
state_management,react_basics
frontend_testing,react_basics
web_performance,react_basics
rest_apis,python_basics
databases_basics,sql_basics
backend_frameworks,rest_apis
backend_frameworks,databases_basics
system_design,databases_basics
system_design,rest_apis
kubernetes_basics,docker_basics
cloud_aws_basics,docker_basics
gcp_basics,docker_basics
azure_basics,docker_basics
ci_cd_basics,git_basics
ci_cd_basics,linux_basics
jenkins_basics,ci_cd_basics
ansible_basics,linux_basics
terraform_basics,cloud_aws_basics
infrastructure_as_code,cloud_aws_basics
infrastructure_as_code,ci_cd_basics
monitoring_observability,kubernetes_basics
prometheus_grafana,kubernetes_basics
cloud_architecture,cloud_aws_basics
cloud_architecture,system_design
multi_cloud,cloud_architecture
release_engineering,ci_cd_basics
systems_administration,linux_basics
network_administration,networking_basics
network_security,networking_basics
network_security,security_fundamentals
application_security,security_fundamentals
application_security,rest_apis
identity_access_management,security_fundamentals
penetration_testing,network_security
burp_suite,penetration_testing
siem_tools,network_security
database_administration,databases_basics
database_tuning,database_administration
kotlin_basics,git_basics
android_development,kotlin_basics
swift_basics,git_basics
ios_development,swift_basics
mobile_ui_patterns,html_css_basics
test_automation,python_basics
product_roadmapping,product_discovery
product_roadmapping,agile_basics
scrum_facilitation,agile_basics
ui_design_principles,figma_basics
prototyping,figma_basics
design_systems,ui_design_principles
sketch_basics,figma_basics
game_engine_basics,git_basics
gameplay_programming,game_engine_basics
graphics_programming,gameplay_programming
embedded_c_basics,git_basics
rtos_basics,embedded_c_basics
hardware_interfacing,embedded_c_basics
robotics_fundamentals,embedded_c_basics
ros_basics,robotics_fundamentals
ar_vr_basics,game_engine_basics
solidity_basics,javascript_basics
smart_contracts,solidity_basics
blockchain_architecture,smart_contracts
api_documentation,technical_writing
api_documentation,rest_apis
seo_fundamentals,digital_marketing_fundamentals
google_analytics,digital_marketing_fundamentals
google_ads,digital_marketing_fundamentals
ab_testing,google_analytics
salesforce_apex,salesforce_basics
sap_basics,erp_fundamentals
